prodotto,caratteristiche,categoria,prezzo
prodotto2,caratteristica1,a,257
prodotto2,caratteristica2,b,750
prodotto3,caratteristica3,c,790
prodotto1,caratteristica4,b,450
prodotto4,caratteristica2,b,320
prodotto4,caratteristica4,c,210
prodotto1,caratteristica2,a,170
prodotto2,caratteristica4,a,470
prodotto1,caratteristica1,a,372
prodotto4,caratteristica4,b,392
prodotto1,caratteristica2,b,472
prodotto3,caratteristica4,b,593
prodotto2,caratteristica1,c,283
prodotto4,caratteristica2,a,183
prodotto1,caratteristica3,b,495
prodotto2,caratteristica2,a,282
prodotto4,caratteristica1,c,495
prodotto1,caratteristica4,a,293
prodotto2,caratteristica2,b,267
prodotto1,caratteristica1,c,650
prodotto3,caratteristica1,b,290
prodotto1,caratteristica4,a,350
prodotto3,caratteristica3,c,355
prodotto2,caratteristica2,b,230
prodotto3,caratteristica4,b,270
prodotto1,caratteristica3,c,478
prodotto4,caratteristica2,c,373
prodotto3,caratteristica1,a,399
prodotto2,caratteristica3,a,443
prodotto4,caratteristica1,c,532
prodotto3,caratteristica2,b,253
prodotto4,caratteristica3,c,154
prodotto1,caratteristica4,b,423
prodotto4,caratteristica2,b,212
prodotto3,caratteristica3,a,998
prodotto2,caratteristica1,a,423
prodotto3,caratteristica2,b,329
prodotto1,caratteristica1,c,675
prodotto3,caratteristica2,a,796
