score,text
positive,Zany witty funny stylish classic and masterful Pulp Fiction is my favourite film of all time Its delivers its laughs through phenomenal performances from Uma Therman John Trovolta Quentin Tarantino Ving Rhames Bruce Willis and Samuel L Jackson especially Tarantino is one of the few film-making geniuses that hasnt graced the world with enough of his works His visual excellence and stylish storytelling techniques are on complete display in this film Tarantino also gives us an ensemble of characters with flawed and yet unique personalities only Tarantino characters have His characters are impressive and yet very flawed very human and yet each and every one of them manages to be ridiculously charismatic and witty The writing in this film is absolutely flawless providing one of the most quotable scripts in history Pulp Fiction is a masterpiece of contemporary cinema that manages to be both effective and enjoyable
positive,Youd certainly have to be over a certain age to watch this movie. Not because it contains small amounts of very realistic and believable violence kids are used to that nowadays but very much so because of the psychological impact it could have. Forget horror ... if I was a kid and had seen this movie it would completely alter my perception of humanity given I would understand it. Once beyond that certain age this movie will impress you to say the least. Shawshank Redemption places a man in the wrong place at the wrong time early 1900s and in the worst kind of scenario. Hes convicted of the murder of his wife and sentenced to life imprisonment. This is how the movie starts. From this point on the majority of the scenes will take place in the Shawshank Prison Facility. Logicly as a viewer you side for the Andy Dufresne beautifly interpreted by Tim Robbins. It doesnt really matter whether you think he did it or not ... hes stuck in there and it looks like hell be there for a while. Friendships are born and enemies are made as you would expect. The way this movie maintains a thrilling storyline describing the friendships however is stunning. At the receiving end of one of those friendships is Red Redding Morgen Freeman a fellow inmate. Red can get you anything and as Andy Red is serving a life sentence. Lets just say they have the time to get to know each other learn from each other and eventually save each other. Because of the limited scenery the story and acting performance gets all the attention it deserves. If I had to condense this movie into a few words intelligence justice friendship being human redemption would all sound like understatements. Saying anything more about this masterpiece would spoil your viewing experience. Its just one youll have to watch if you love movies.
positive,You only have to watch Pulp Fiction to get that QT truly understands the meaning of the word: Cool QTs movies are all about tough guys and centerfold hot chicks who talk about pop culture movies and music But its his sense of language and prose that define his style Like Raymond Chandler or Elmore Leonard he knows what great dialog sounds like and boy do these characters get a lot of cool things to talk about QTs characters are masters at exhibiting great one-liners but theyre also alive with unique quirks and eccentricities Mia is hip to knowing the difference between an Elvis-man and a Beatles-man Jules Winnfield exhibits a crude rough persona but can recognize a miracle when he sees one Butch is a boxer who is as much of a hero as a he is a killer In a movie where the characters are defined by their self-referential discussions and kinetic personalities they are in fact the pulp to the fiction However Pulp Fiction may also be best known for its splendidly memorable moments that have become a part of popular culture in of themselves Think about the dance off in Jack Rabbit Slims its not great dancing but the moment is fun and playful Or consider the most quoted scene of the film where Jules and Vincent talk about Big Macs Theres something visceral and even moving about the films style QT seems to be lamenting his own taste and ideals on worldly topics In fact you can determine what his very soul is driven by at the core of his dialog But its also a film that lends itself to the laymens quality of life where the characters do and say things that relate to what people actually do and talk about And also lets not forget the nature of QTs film making No other director has been so eagerly and shamelessly referenced in other films since Steven Spielberg Some of QTs best contemporaries are Guy Ritchie Matthew Vaughn and James Gunn  who are also known for their mesmerizing characters and self-referential dialog What they get is that QTs films are snub-nosed and brilliant with great inventive energy and personal to what QT is all about Like his predecessors who influenced him QT understands that skill and craftsmanship are only half the work and that a passion for sticking to your guns and making strong personal films makes up the bulk of all great Hollywood legends If you want to know what great film making is all about just watch Pulp Fiction and marvel at its excellence 
positive,You know what to expect. Youve read all the reviews youve heard how good it is from your friends so you know what to expect. You already know that Return of the King the third and final film in the amazing Lord of the Rings trilogy is an awesome and truly epic film experience. But for those who are still sceptical since LOTR is such a nerdy enterprise Im here to convince you to take a chance on this great film. First and foremost this movie is action-packed. Yes the beginning is besides some murder and frightening scenes pretty peaceful. But when the armies of Evil and the armies of Men have fully gathered together at the awe-inspiring city of Minas Tirith thats when the fun begins. Horses run over orks by the thousands giant Mumakil elephants trample everybody and an army of ghosts show up and slaughter everything. To top it all off we have a showdown between warrior-princess Eowyn and the undead leader of the Nazgul the Witch King and heck be darned if he isnt seriously scary enough to make hell freeze over with his voice alone. We also have Legolas taking down an entire Mumak SINGLEHANDEDLY. All this makes Return truly entertaining to watch since the intensity and suspense has already been setup. But this film isnt only about slaughtering orcs: there are several different genres mashed up here. The freaky scenes where the giant spider Shelob chases Frodo through her lair bring to mind the creepier horror films from the 80s such as The Thing. For any girls in the audience there is obviously the romance between Aragorn and elven babe Arwen and there is also Eowyns feminist-style charge into the thick of battle. The point isLOTR was not made for creepy little nerds to obsess about
positive,You know its really not the most entertaining movie ever made. you might look around the theater and see people yawning or even sleeping i guess its not avatar where you get CGI things or these 3D animation movie they make these days nor any batman or superman thing to thrill you with the action. What makes this motion picture special is that you will grow to love this movie  the first time you walk out of threatre you may not think of it as the greatest movie ever made  but theres something about it which makes you see it again and again and each time you see it you learn something new from it. you may be impressed by these great budget movie they make these days but you surely wont watch it a hundred times literally. Count my words you will watch this movie that many times. Its a story about hope as many people have already said in the review also about friendship and almost all these great human emotions. Great great soundtrack by thomas newton is like a cherry on the cake. The movie is so realistic and so much real at places it actually makes you angry yet its not a depressing movie like schindlers list or a fairy tale one like forrest gump  its just a story which gives you hope and strength to face life and value it. believe me lol i have watched a lot of movies and this IS THE BEST ONE.
positive,You dont go and see a Tarantino written film without expecting to see guns gore vulgarity and everything else associated with graphic violence It is his style and he is a master at it The fact is if you did not like the film and you knew he was involved you can only blame yourself This particular film was well written Kudos to Roger Avary for helping Tarantino The film is definitely Oscar material that is why it received so many nominations in top spots Best Picture Best Actor Best Supporting Actor Best Supporting Actress and Best Director to name a few Unfortunately I believe the violence prevented it from winning any of the major awards but Tarantino and Avary did get Oscars for Writing it Their is talk about quarter pounders in France foot massages and what its like to kill a person If you can follow the film which basically runs backwards and if you are not offended by topics like violence rape and drug use you are probably a Tarantino fan already Finally who cares where Tarantino got his inspiration from 80% of that film was exactly what you expect it to be and 20% of it is surprises for you his fans Travolta Jackson Willis Rames and Thurman have my highest regards for a job well done I give the film a 10 out of 10 >
positive,you could look long and hard and never find a film more fun to watch than missionimpossible its classy stylish and heartpounding first let me address the frequent complaints about an overly complex plot this is not true there are a few lines you shouldnt miss but pay attention as you watch and you will be fine ie dont wander off to get popcorn ethan hunt is an american agent who has been framed and falsely accused of treason and the murder of his team he strikes out to clear his name with a group of similarly disavowed agents together they must prove that ethan was set up and prevent a dangerous weapons dealer from accessing a list that would betray the identities of every american deep cover agent alive the story is well constructed without the typical action movie plot holes the film is well balanced between action and dialog but the best part of mi is ethan hunt whom tom cruise not only portrays but lives and defines a rare action hero with a brain ethan is quick fit savvy with both a computer and a gun driven and determined he thinks quick on his feet and doesnt look back but the most rare and valuable trait he possesses is his powerful magnetism and charisma he makes you like him and instead of coming across as arrogant his confidence and assurance draw you to him i almost never give a film a 1010 rating but missionimpossible is one of those rare films that gets every detail right theres nothing to dislike and everything to enjoyhighly recommended
positive,you cant get more from a motion picture Morgan Freeman undoubtedly is a great actor and finding him as supporting actor in movies has been a culture in the modern cinema. The movie have a great plot the director did a great job concentration on the story have a solid field and the scope to keep you sticking to your chair the movie have such a dialogue delivery that you have to pause if you even blink your eye. Shawshank Redemption as the title is tempting so is the movie the star cast is great the performance cant get better and criticizing the all the rules and regulations of the society challenging the so many other other things the movie becomes a legend to the todays actors enough war movies enough jail breaks you have seen in movies but its all inspiring all contributing to the society and the diamond to the industry and the milestone for the coming actors is this. Tim Robbins performance is great as he lived the role and the eye stretcher movie shawshank redemption.  so it comes down to the Hobbits Frodo and Sam to bear the burden of the Ring and deal with the treachery of Gollum. After a long journey they finally arrive in the dangerous lands of Mordor seeking to destroy the One Ring in the place it was created the volcanic fires of Mount Doom.Notably it won all eleven Academy Awards for which it was nominated an Oscar record and tied for largest number of awards won with Ben-Hur and Titanic. Instead of starting just where the previous film left off however it goes far back in time to the moment the tormented creature Gollum first came to possess the One Ring. In this flashback actor Andy Serkis who voiced Gollum and performed his movements onset prior to the final CGI effects finally gets to appear on screen portraying Gollums former self Sm’©agol. This disturbing scene serves as a potent reminder that the Ring seeks to corrupt even the well-intentioned Frodo who is increasingly struggling with the dark power of the Ring himself. Thus the film returns to the present following Frodo Sam and Gollum as they journey ever closer to the foreboding land of Mordor. They pass by the terrifying dark city of Minas Morgul watching as the dreadful army of the Witch King sets out for the human strongholds in Gondor and move on to the rocky stairs to Cirith Ungol where an even darker enemy lies in wait. Meanwhile the rest of the Fellowship reunites in Rohan having defeated the wizard Saruman on two different fronts at Helms Deep and Isengard. They are not together for long though since the hobbit Pippin gets into trouble making it necessary for him and Gandalf to hastily depart for Minas Tirith capital of Gondor. Once there they find the steward of Gondor Denethor in an unstable mental state and the city preparing for battle against the amassing forces of Sauron. Denethor unwisely sends his only remaining son Faramir back into bloody battle to prove himself. He returns nearly dead sending Denethor over the edge of sanity.In another realm elf Arwen begins her journey to immortal life in the Grey Havens on her way to leave Middle-earth -- and Aragorn -- forever but has a vision that causes her to once again reconsider her decision. Back in Rohan the men are preparing to ride to Gondors aide. ’_owyn desperately wants to join the men in battle but her uncle King Th’©oden orders her to stay and defend Rohan if necessary. The hobbit Merry also desires to ride with the men but is denied due to his small size and inexperience. Aragorn is met there by the elf Elrond who brings him the re-forged Sword that was Broken in the ancient battle with Sauron and urges him to take a different route to Gondor. Heeding Elronds advice Aragorn along with elf Legolas and dwarf Gimli takes a cavernous path through the mountains where they meet ghoulish ghosts who betrayed Aragorns ancestors and are doomed to eternal unrest unless they fulfill their broken oaths by aiding him. All but Frodo Sam and Gollum will meet on the massive battlefield of the Pelennor before the gates of Minas Tirith. The former three instead engage in a battle of wills between each other and the One Ring as they head toward the fires of Mount Doom to destroy it. The thrilling conclusion to what has become the film event of our time - - the definitive screen fantasy -- features more spellbinding moments bigger battles more emotion and more poetry than the terrific first two films in the trilogy.It is visually stunning as it pops your eyes excites your senses and brings you in as close as a whisper for scenes of startling emotion.Jackson boldly and faithfully brought J.R.R. Tolkiens world to life as hes created the most epic and sweeping fantasy adventure of all time as evidenced in this third film.Aside from thatthe movie is great at all levels including the brilliance of the cast.Standing out amid an excellent cast is Elijah Wood stymied by tweeness in the earlier films but here convincingly developing the character of Frodo as the embodiment of valor and self-sacrifice.Aside from thatit provides the viewer a great tale of heroes bonded together by friendship and spectacular themes about very special friendship between hobbits Elijah Woods Frodo and Sean Astins Sam that touches us most of all.This is a masterpiece of filmmaking. 
positive,Yesterday I traveled 250 km to Athens Greece to watch the Dark Knight since I was in a town with no cinemas I was anxious after having watched Batman Begins and also curious to see for myself just how accurate the reviews that praised the film were and also just how good could Heath Ledgers acting really be. As a quick overall conclusion I must say that The Dark Knight is a masterpiece. Dont get me wrong but calling a film a masterpiece doesnt make it flawless and doesnt automatically grant it a 10/10 mark. Anyway in my opinion classifying a work of art as number 1263 or 134 of all time is a total waste of time. There cannot be any objective criteria in art and especially in films. There are so many genres so many different things a film can offer you and so many themes explored in the art of cinema that such a classification doesnt do any justice neither to the creators nor to the audience of a film. Starting with the storyline. The Dark Knight can be watched without having watched Batman begins. That is a very essential point. This is what makes a film whole and unique. Those ready to watch a cartoon -like comic book superhero film should not even bother... This is Christopher and Jonathan Nolans vision of a realistic 21st century metropolis controlled by organized crime actual mafia and every level of its infrastructure corrupt by it. Everyone knows that you dont want to mess with such a regime because the consequences will be catastrophic and unpredictable as in a war. And people are obviously scared. Therefore what is needed is someone to take this fear and through a symbol or an idea lash it out on the crime lords. This is Batman. But this will inevitably lead to war. A war where anything is acceptable and the heroes morals and methods are always put to the test because as symbols their actions can be checked only by themselves. But Batman is human and therefore flawed. Who gives him the right to decide whats wrong or right Therefore out of this war social instability grows and anarchy rises. That is what the Joker represents No morals no apparent motives other than the destruction of the social network. In Batman begins Ras Al Ghoul wanted to create a new order of justice through chaos. Joker goes one step further. He wants to establish chaos itself as the new order. The world is in a state of chaos anyway. Crime rules and the only one willing to fix things and give people the justice they deserve is a man dressed up as a bat Congratulations This is an idea worth watching on screen Why stay true to the cartooned image of previous Batmen when you can explore such a brilliant idea And the film is filled with several plot twists agonizing dilemmas and very meaningful dialogue. Of course there are minor flaws plot-wise. Sometimes the various events are a little confusing. The Scarecrows cameo appearance is out of place. He should have a larger part in the film or not at all. The mutation of Harvey Dent into Twoface near the end of the movie should have been explored more and at a slower pace. If there is one more film to complete a trilogy with Twoface as the main villain I would be content. The directing by Christopher Nolan is fast-paced and tight. The movie stretches to 25 hours but in such a relentless pace that in the end all you want is more The only objection is that some action scenes near the end are a little too chaotic. You cant really make out whats happening. But others could object that thats the way Batman works The villains cant really make out what exactly hit them in the end its all a matter of taste. Ive left the acting for last because of the hype surrounding Heath Ledgers portrait of the Joker. Well the rumors are true: Heath Ledger is breathtaking. His Joker is so believable and realistic that sometimes you think that the actor actually IS a homicidal psychopath and not just acting The comparison to any other actor in this movie is completely out of place. Heath Ledger is in a league of his own. And that is extra credit to him considering that the rest of the cast did a fantastic job also. My personal favourites were Aaron Eckhart as Harvey Dent Gary Oldman as Jim Gordon and Morgan Freeman as Lucius Fox. Michael Caine should have more screen time though. Least favourite was Maggie Gylenhaal. Contrary to the general opinion I preferred Katie Holmes. But overall the performances were outstanding. Christian Bale is left for last: This is my favourite vision of Batman. Bale continues the work he did in Batman begins. He creates a character complete in every way but in this film he somewhat lacks the emotional strength he had in Batman begins. Overall The Dark Knight is a complex crime drama of epic proportions filled with fast and banging action scenes ingenious storyline and brilliant acting by an all-star cast lead by a monumental performance by the late Heath Ledger. His Joker is not only the best comic-book-villain-on-film but also one of the best villains in the history of the film industry. Whether or not hell get an Oscar is totally irrelevant. After all Jack Nicholson never won an Oscar for his Joker... Who by the way should not be compared with Ledgers Joker because the logic behind each role is different. With Christopher Nolan behind the camera an actor as great as Jack Nicholson could have pulled off something similar or better. You can never know.
positive,Yes Stephen King writes drama. He also wrote Stand By Me The Green Mile and Dolores Claiborne. He has definitely been typed as a horror writer when he is an amazing tearjerker. This film is amazing. Words cannot describe just how amazing this film truly is. I thought that I would not like this film as it looked like a bad sports movie. But when my science teacher told me I should see it because its a movie where you just go wow. I did and I was literally in tears by the end. Not in tears of sadness but tears of joy. Because the film was simply so beautiful. Not very many films have made me cry. Of course I cried at the endings of Marley and Me and Toy Story 3. But there are only 3 films Ive ever cried at. Some people say Citizen Kane or The Godfather are the best movies ever. FALSE. They are overrated. This film is a diamond in the rough. Most people are stubborn and wont even take this gem into consideration. It truly is the best movie ever. The music the direction the cast. I wont give anything away you need to see the film to appreciate its true beauty but I will say that the music in this film puts John Williams to shame and the movie reminds us that even in the most bleak of situations life can still be great. It is a great movie because it reminds us that hope is something that nothing can quench.
