"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @evankirstel: Speech #Analytics: A New Way to Know Your Customers | CustomerThink https://t.co/AjymgcExEZ #cx #cctr https://t.co/MgVeR0x…",FALSE,0,NA,2017-01-18 17:47:39,FALSE,NA,"821776078716932097",NA,"<a href=""https://commun.it"" rel=""nofollow"">Commun.it</a>","sCHEFfert",9,TRUE,FALSE,NA,NA
"2","#Analytics If you hear a voice within you say �you canbnot paint,� then by all means paint, and that voice will be silenced. ~ Vincent van …",FALSE,0,NA,2017-01-18 17:47:35,FALSE,NA,"821776062568923136",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","MasterDatabase",0,FALSE,FALSE,NA,NA
"3","+ #analytics comScore New Station Group Giant Emerges as Nexstar, Media General Finalize $4.6 Billion Merger: … https://t.co/ZvGfAORlNA",FALSE,0,NA,2017-01-18 17:47:31,FALSE,NA,"821776042977333248",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","ClubSignage",0,FALSE,FALSE,NA,NA
"4","RT @Sam___Hurley: How To Choose Your #ContentMarketing Metrics: https://t.co/lXXds3P4VG [#analytics via @usefilament] https://t.co/jHmUDmBI…",FALSE,0,NA,2017-01-18 17:47:14,FALSE,NA,"821775974089953280",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","macenzledcronin",18,TRUE,FALSE,NA,NA
"5","RT @BadeRajasekhar: The evolution of #iot 
#startup #bigdata #analytics #datascience #chatbot #fintech #medtech #smarthome #smartcity #ai #…",FALSE,0,NA,2017-01-18 17:47:14,FALSE,NA,"821775971653189635",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Simibit1",44,TRUE,FALSE,NA,NA
"6","RT @CFOintheCloud: . @Gartner say #cloud, #in-memory &amp; #analytics are 3 big tech factors impacting #EPM  https://t.co/v1ycZl94q7 &gt; How abou…",FALSE,0,NA,2017-01-18 17:47:09,FALSE,NA,"821775953810563074",NA,"<a href=""http://dustcloud.io"" rel=""nofollow"">Dustcloud.io</a>","HokstadConsult",2,TRUE,FALSE,NA,NA
"7","RT @DBaker007: 51 Expert Tips to Learn #BigData #Analytics @DataScienceCtrl https://t.co/vOYOuTk0Er #datascience https://t.co/hvlUxuTGJR",FALSE,0,NA,2017-01-18 17:47:06,FALSE,NA,"821775938346221572",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","RoltaTech",0,FALSE,FALSE,NA,NA
"8","Have any New Year’s resolutions for #BI &amp; #analytics? Gartner_inc’s BIScorecard suggests a few at infomgmt:… https://t.co/ladoph2X4r",FALSE,0,NA,2017-01-18 17:47:03,FALSE,NA,"821775928342745089",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","pahu666",0,FALSE,FALSE,NA,NA
"9","Have any New Year’s resolutions for #BI &amp; #analytics? @Gartner_inc’s @BIScorecard suggests a few at @infomgmt:… https://t.co/GSiHexqfzn",FALSE,1,NA,2017-01-18 17:47:00,TRUE,NA,"821775914849554432",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","infobldrs",0,FALSE,FALSE,NA,NA
"10","RT jose_garde: 90 Active Blogs on #Analytics, #BigData, #DataMining, #DataScience, #MachineLearning - https://t.co/rLFtSvxlDk #ArtificialI…",FALSE,0,NA,2017-01-18 17:46:51,FALSE,NA,"821775877235212292",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","maxversace",0,FALSE,FALSE,NA,NA
